Agency Name,Acronym,Parent Agency,Official Website,Address,Contact Phone,Contact Email,Headcount (Mar 2025 est.),Notes,Procurement Contact Name,Procurement Contact Title,Procurement Phone,Procurement Email,OSDBU/Procurement URL
Department of Agriculture,USDA,,https://www.usda.gov,"1400 Independence Ave SW, Washington, DC 20250",202-720-2791,feedback@usda.gov,94000,Includes all sub-agencies,,OSDBU Director,(202) 720-7117,ams.smallbusiness@usda.gov,https://www.dm.usda.gov/smallbus/
Department of Commerce,DOC,,https://www.commerce.gov,"1401 Constitution Ave NW, Washington, DC 20230",202-482-2000,,47000,Includes all sub-agencies,,OSDBU Director,(202) 482-1472,osdbu@doc.gov,https://www.commerce.gov/osdbu
Department of Defense,DoD,,https://www.defense.gov,"1000 Defense Pentagon, Arlington, VA 22202",703-571-3343,,740000,Civilian employees only; military personnel excluded,,"Director, Office of Small Business Programs",(571) 372-6218,osbp.inbox@osd.mil,https://www.acq.osd.mil/osbp/
Department of Education,ED,,https://www.ed.gov,"400 Maryland Ave SW, Washington, DC 20202",1-800-872-5327,edpubs@ed.gov,3900,,,OSDBU Director,(202) 245-6310,osdbu@ed.gov,https://www2.ed.gov/about/offices/list/osdbu/index.html
Department of Energy,DOE,,https://www.energy.gov,"1000 Independence Ave SW, Washington, DC 20585",202-586-5000,,14500,,Charlie Smith,"Director, Office of Small Business Programs",(202) 586-7377,smallbusiness@hq.doe.gov,https://www.energy.gov/osbp/office-small-business-programs
Department of Health and Human Services,HHS,,https://www.hhs.gov,"200 Independence Ave SW, Washington, DC 20201",202-690-7000,,80000,Includes all sub-agencies,Shannon Jackson,"Executive Director, OSDBU",(202) 690-7300,Shannon.Jackson@hhs.gov,https://www.hhs.gov/osdbu/
Department of Homeland Security,DHS,,https://www.dhs.gov,"2707 Martin Luther King Jr Ave SE, Washington, DC 20528",202-282-8000,,240000,Includes all sub-agencies,,OSDBU Director,(202) 447-5555,DHSOSDBU@hq.dhs.gov,https://www.dhs.gov/osdbu
Department of Housing and Urban Development,HUD,,https://www.hud.gov,"451 7th St SW, Washington, DC 20410",202-708-1112,,8200,,,OSDBU Director,(202) 708-1428,smallbusiness@hud.gov,https://www.hud.gov/program_offices/sdb
Department of the Interior,DOI,,https://www.doi.gov,"1849 C St NW, Washington, DC 20240",202-208-3100,,67000,Includes all sub-agencies,Megan Olsen,"Acting Director, OSDBU",(202) 208-3493,doi_osdbu@ios.doi.gov,https://www.doi.gov/osdbu
Department of Justice,DOJ,,https://www.justice.gov,"950 Pennsylvania Ave NW, Washington, DC 20530",202-514-2000,,118000,"Includes all sub-agencies (FBI, DEA, BOP, etc.)",,OSDBU Director,(202) 616-0521,JMDSmallBusiness@usdoj.gov,https://www.justice.gov/jmd/small-business-program
Department of Labor,DOL,,https://www.dol.gov,"200 Constitution Ave NW, Washington, DC 20210",202-693-6000,,15000,,,OSDBU Director,1-888-972-7332,osdbu@dol.gov,https://www.dol.gov/oasam/programs/osdbu/
Department of State,DOS,,https://www.state.gov,"2201 C St NW, Washington, DC 20520",202-647-4000,,77000,Includes Foreign Service officers,,OSDBU Director,(703) 875-6822,smallbusiness@state.gov,https://www.state.gov/small-and-disadvantaged-business-utilization/
Department of Transportation,DOT,,https://www.transportation.gov,"1200 New Jersey Ave SE, Washington, DC 20590",202-366-4000,,57000,Includes all sub-agencies,,OSDBU Director,(202) 366-1930,dot-osdbu@dot.gov,https://www.transportation.gov/osdbu
Department of the Treasury,Treasury,,https://home.treasury.gov,"1500 Pennsylvania Ave NW, Washington, DC 20220",202-622-2000,,101000,Includes IRS,,OSDBU Director,(202) 622-0530,osdbu@treasury.gov,https://home.treasury.gov/services/small-and-disadvantaged-business-utilization
Department of Veterans Affairs,VA,,https://www.va.gov,"810 Vermont Ave NW, Washington, DC 20420",1-800-698-2411,,415000,Second largest federal employer,Chanel Bankston-Carter,"Executive Director, OSDBU",1-866-584-2344,vetbiz@va.gov,https://www.va.gov/osdbu/
Agricultural Marketing Service,AMS,Department of Agriculture,https://www.ams.usda.gov,"1400 Independence Ave SW, Washington, DC 20250",202-720-8998,,2700,,,USDA OSDBU,(202) 720-7117,ams.smallbusiness@usda.gov,https://www.dm.usda.gov/smallbus/
Agricultural Research Service,ARS,Department of Agriculture,https://www.ars.usda.gov,"5601 Sunnyside Ave, Beltsville, MD 20705",202-720-3656,,7000,,,USDA OSDBU,(202) 720-7117,ams.smallbusiness@usda.gov,https://www.dm.usda.gov/smallbus/
Animal and Plant Health Inspection Service,APHIS,Department of Agriculture,https://www.aphis.usda.gov,"4700 River Rd, Riverdale, MD 20737",844-820-2234,,8000,,,USDA OSDBU,(202) 720-7117,ams.smallbusiness@usda.gov,https://www.dm.usda.gov/smallbus/
Economic Research Service,ERS,Department of Agriculture,https://www.ers.usda.gov,"1400 Independence Ave SW, Washington, DC 20250",202-694-5050,,350,,,USDA OSDBU,(202) 720-7117,ams.smallbusiness@usda.gov,https://www.dm.usda.gov/smallbus/
Farm Service Agency,FSA,Department of Agriculture,https://www.fsa.usda.gov,"1400 Independence Ave SW, Washington, DC 20250",202-720-7809,,10000,,,USDA OSDBU,(202) 720-7117,ams.smallbusiness@usda.gov,https://www.dm.usda.gov/smallbus/
